city,state,HotelName,Address,PhoneNumber,HotelWebsite,HotelRating,Spa,Airport shuttle,Business Center,Pool,Contactless check,Pet friendly,Free Wifi,Wheel-chair accessible,Complementary breakfast,Fitness Center,24 hr front desk,Valet Parking,Open bar,smoking
Mount Laurel,NJ,Extended Stay America  Mt. Laurel Crawford Pl,101 Diemer Dr Mount LaurelNew Jersey 08054,8567784100,https://www.extendedstayamerica.com/hotels/pa/philadelphia/mt-laurel-crawford-place,2.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Mount Laurel,NJ,Rodeway Inn,1132 Route 73 Mount LaurelNew Jersey 08054,8566562000,https://www.choicehotels.com/new-jersey/mount-laurel/rodeway-inn-hotels/nj258,2.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
Mount Laurel,NJ,Staybridge Suites  Mt. Laurel,4115 Church Road 08054 Mount Laurel,8567221900,https://www.ihg.com/staybridge/hotels/us/en/mount-laurel/blnml/hoteldetail,3.0,0,0,1,1,0,0,0,1,1,0,1,1,0,0
Mount Laurel,NJ,Clarion Hotel & Suites (Ex. Wyndham  ),1111 Route 73 North Mount LaurelNew Jersey 08054,8562347000,http://www.wyndham.com/hotels/new-jersey/mount-laurel/wyndham-philadelphia-mount-laurel/hotel-overview?cid=local,2.0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
Mount Laurel,NJ,Aloft,558 Fellowship Road Mount LaurelNJ 08054,8562341880,http://www.starwoodhotels.com/alofthotels/property/overview/index.html,3.0,0,0,1,1,0,0,0,1,0,1,1,1,0,1
Mount Laurel,NJ,Track & Turf Motel,809 Route 73 Mount LaurelNew Jersey 08054,8562356500,https://www.booking.com/hotel/us/track--turf-motel.htm,2.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Mount Laurel,NJ,Springhill Suites Mt. Laurel,5000 Midlantic Drive Mount LaurelNew Jersey 08054,8562342009,http://www.marriott.com/hotels/travel/phlsm-springhill-suites-mount-laurel-cherry-hill,3.0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
Mount Laurel,NJ,Hampton Inn & Suites  Moorestown,2020 Briggs Road 08054 Mount Laurel Mount LaurelNew Jersey 08054,8567330020,http://hamptoninn3.hilton.com/en/hotels/new-jersey,2.0,0,0,1,1,0,0,0,1,1,1,1,1,1,1
Mount Laurel,NJ,City's Escape,Saint John Street,8569520102,https://www.booking.com/hotel/us/citys-escape.htm,3.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Mount Laurel,NJ,Global Luxury Suites at,322 Cobble Creek Circle,8443727411,https://www.booking.com/hotel/us/global-luxury-suites-at-cherry-hill.htm,4.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
Mount Laurel,NJ,MiCasaZ S. NJ 10 min to Philly,1701 49Th Street,7084150148,https://www.booking.com/hotel/us/micasaz-s-nj-10-min-to-philly.htm,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mount Laurel,NJ,MiCasaZ South NJ 4 BR near Philly,6145 Grant Avenue,7084150148,https://www.booking.com/hotel/us/micasaz-south-nj-4-br-near-philly.htm,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mount Laurel,NJ,BlueWavePlace South NJ Tinsman,1647 Tinsman Avenue,7329101458,https://www.booking.com/hotel/us/bluewaveplace-south-nj-tinsman.htm,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fairview Heights,IL,Hampton Inn,150 Ludwig Drive Fairview HeightsIllinois 62208,6183979705,http://hamptoninn3.hilton.com/en/hotels/illinois/hampton-inn-st-louis-fairview-heights-STLFVHX/index.html,2.0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
Fairview Heights,IL,Holiday Inn,313 Salem Place Fairview HeightsIllinois 62208,6182121300,http://www.holidayinn.com/hotels/us/en/fairview-heights/fvhil/hoteldetail,3.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Fairview Heights,IL,Comfort Suites,137 Ludwig Drive Fairview HeightsIL 62208,6183940202,https://www.choicehotels.com/illinois/fairview-heights/comfort-suites-hotels/il244,2.0,0,0,1,0,1,0,0,1,1,1,1,1,0,0
Fairview Heights,IL,Drury Inn & Suites,12 Ludwig Drive Fairview HeightsIL 62208,6183988530,https://www.booking.com/hotel/us/drury-inn-suites-fairview-heights-illinois.html,3.0,0,0,1,1,0,1,1,1,0,1,1,1,0,0
Fairview Heights,IL,Four Points by Sheraton,319 Fountains Parkway Fairview HeightsIllinois 62208,6186229500,https://www.starwoodhotels.com/fourpoints/property/overview/index.html?propertyID=1168,3.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Fairview Heights,IL,"Country Inn & Suites by Radisson, , IL",140 Ludwig Drive Fairview HeightsIL 62208,6183987124,http://www.marriott.com/,3.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Fairview Heights,IL,Super 8,45 Ludwig Drive I-64 Ex 12 St 159 N to LudwigFairview HeightsIL 62208,6183988338,http://www.super8.com/hotels/illinois/fairview-heights/super-8-fairview-heights-st-louis/hotel-overview,2.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
Fairview Heights,IL,Ramada,6900 N Illinois St. I 64 62208 1313 Fairview Heights I-64Fairview Heights 62208Illinois,6186324747,https://www.booking.com/hotel/us/ramada-fairview-heights.htm,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairview Heights,IL,Econo Lodge Inn & Suites,305 Salem Place Fairview HeightsIllinois 62208,6186243636,http://www.americasbestvalueinn.com/bestv.cfm?idp=1933,2.0,0,0,1,0,0,0,0,1,1,0,1,1,0,1
Fairview Heights,IL,Trailway Motel,10039 Lincoln Trail Fairview HeightsIllinois 62208,6183971566,https://www.booking.com/hotel/us/trailway-motel-fairview-heights.html,2.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
Fairview Heights,IL,Country Inn & Suites by Radisson  IL,"140 Ludwig Dr, Fairview Heights, IL 62208, United States",6182138540,https://www.booking.com/hotel/us/country-inn--suites-by-radisson-fairview-heights-il.htm,3.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Brooklawn,NJ,Motel 6  PA  NJ,801 Crescent Blvd BrooklawnNew Jersey 08030,8564566688,http://www.motel6.com/reservations/motel_detail.aspx?num=4948,2.0,0,0,1,1,1,0,0,1,0,0,1,1,1,1
Philadelphia,PA,Embassy Suites  Center City,1776 Benjamin Franklin Parkway Philadelphia 19103Pennsylvania,2155611776,http://embassysuites.hilton.com/en/es/hotels/index.jhtml?ctyhocn=PHLDTES,3.0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
Philadelphia,PA,Sonesta  Rittenhouse Square,1800 Market St PhiladelphiaPennsylvania 19103,2155617500,http://www.sonesta.com/philadelphia,4.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Philadelphia,PA,The Bellevue Hotel in the Unbound Collection by Hyatt,200 South Broad Street PhiladelphiaPennsylvania 19102,2158931776,http://www.bellevuephiladelphia.com/,4.0,1,0,1,0,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Live! Casino & Hotel (Ex.Holiday Inn  Stadium),900 Packer Avenue PhiladelphiaPennsylvania 19148,2157559500,http://www.hiphilly.com/,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Philadelphia,PA,Loews  Hotel,1200 Market St PhiladelphiaPennsylvania 19107,2156271200,http://www.loewshotels.com/Philadelphia-Hotel,4.0,1,0,1,0,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Sheraton  Society Hill Hotel,1 Dock St 2nd and Walnut StreetsPhiladelphiaPennsylvania 19106,2152386000,http://www.sheraton.com/societyhill,4.0,0,0,1,0,1,0,0,1,0,1,1,1,1,0
Philadelphia,PA,Hampton Inn Limerick  Area,430 Linfield Trappe Road LimerickPennsylvania 19469,6104956999,http://hamptoninn3.hilton.com/en/hotels/pennsylvania/hampton-inn-limerick-philadelphia-area-PHLLIHX/index.html,2.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Home2 Suites By Hilton  Convention Center,1200 Arch Street PhiladelphiaPA 19107,2156271850,http://home2suites3.hilton.com/en/hotels/pennsylvania/home2-suites-by-,3.0,0,0,1,1,0,0,0,1,1,1,1,0,1,0
Philadelphia,PA,Staybridge Suites Montgomeryville,119 Garden Golf Blvd North WalesPA 19454,2153938899,http://ichotelsgroup.com/redirect?path=hd&localeCode=en&hotelCode=PHLMG,3.0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,The Westin,99 S 17Th St at Liberty PlacePhiladelphiaPennsylvania 19103,2155631600,http://www.starwoodhotels.com/westin/property/overview/index.html?prop,4.0,0,0,1,0,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Sheraton Suites  Airport,4101B Island Ave PhiladelphiaPennsylvania 19153,2153656600,http://www.sheratonphiladelphiaairport.com,3.0,0,1,1,1,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,Penns View Hotel,14 N Front St PhiladelphiaPennsylvania 19106,2159227600,http://www.pennsviewhotel.com,3.0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
Philadelphia,PA,Courtyard  Downtown,21 North Juniper Street PhiladelphiaPennsylvania 19107,2154963200,http://www.marriott.com/hotels/travel/phldc-courtyard-philadelphia-dow,4.0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,Hampton Inn & Suites  Bensalem,3660 Street Road BensalemPennsylvania 19020,2673322200,http://hamptoninn3.hilton.com/en/hotels/pennsylvania/hampton-inn-and-suites-philadelphia-bensalem-PHLSTHX/index.html,2.0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
Philadelphia,PA,Holiday Inn Bensalem  Area,3327 Street Road BensalemPennsylvania 19020,2156399100,http://www.ihg.com/holidayinn/hotels/us/en/bensalem/phlbe/hoteldetail,3.0,0,0,1,1,0,0,0,1,1,1,1,1,1,0
Philadelphia,PA,Residence Inn  Valley Forge,600 West Swedesford Road BerwynPennsylvania 19312,6106409494,http://www.marriott.com/hotels/travel/phlbw-residence-inn-philadelphia-valley-forge/,3.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,DoubleTree by Hilton  Airport,4509 Island Avenue PhiladelphiaPennsylvania 19153,2153654150,http://www.doubletreephiladelphiaairport.com,4.0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
Philadelphia,PA,Holiday Inn Express  NE Bensalem,1329 Bristol Pike BensalemPennsylvania 19020,2152455222,http://www.hiebensalem.com/,2.0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Four Points by Sheraton  Northeast,9461 Roosevelt Boulevard PhiladelphiaPennsylvania 19114,2156719600,http://www.fourpointsphiladelphianortheast.com/,3.0,0,0,1,0,1,0,0,1,0,1,1,1,0,0
Philadelphia,PA,DoubleTree by Hilton  City Center,237 South Broad Street PhiladelphiaPennsylvania 19107-5686,2158931600,http://doubletree.hilton.com/en/dt/hotels/index.jhtml?ctyhocn=PHLBLDT,4.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
